MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
0.44604296875,0.634339985548463,78.942,0.25390625,0.00149020738865482,0.00108930807438737,0.261612035770698,0.16104293649341,0.00210729701488655,0.000254636298601335,0.315813934455967,3.16949464150387,x1,4353,4864,1
0.10060078125,0.149391454245424,20.6395,0.2578125,0.00153929045242005,0.000589472459137461,0.0033040748040377,0.00224588538769918,0.00123610962086504,0.000141762363980937,0.600810512523881,9.10244359444718,x1,4609,5120,1
0.0842880859375,0.104725984437513,16.8912,0.19921875,0.00407663415050575,0.00130640090405033,0.00243093310576953,0.0017298921135505,0.00132940656988121,0.000129195267758196,0.586251537929052,2.95869971419351,x1,4865,5376,1
0.0810558593749999,0.101833913302188,17.3345,0.25390625,0.0041009581746689,0.0010423960823203,0.00195295976929251,0.000963318706607245,0.00146300403248062,9.802675483188e-05,0.550933151689421,3.13011321906942,x1,5121,5632,1
0.072762890625,0.0918214835632163,18.4683,0.29296875,0.000863700107521354,0.000796682398273105,0.00221242571300163,0.00165288204706957,0.00141691202428084,0.000102891240884527,0.635658746730821,3.05570487429239,x1,5377,5888,1
0.0968845703125001,0.120903192081387,19.4465,0.1953125,0.00227117096397423,0.00215263326042112,0.0056921946397744,0.00423747475302221,0.00122827146410057,0.000122110178624855,0.643744448542786,3.05184221694592,x1,5633,6144,1
0.221515625,0.318997127362654,36.3943999999999,0.15625,0.00572779572837092,0.00203586024923804,0.0703401903033773,0.0502227848424059,0.000520260407475287,8.11751931892434e-05,0.429154464027698,4.51648778550203,x1,5889,6400,1
0.2060376953125,0.313861593295666,32.3786,0.1875,0.00260712473975145,0.00254941018248588,0.050341201073201,0.0332390638592877,0.000201788937670059,5.48325418992343e-05,0.39925606600383,4.7922396648259,x1,6145,6656,1
0.1651611328125,0.232449139220215,17.2055,0.13671875,0.0133067910699116,0.010020625699986,0.0089312227749241,0.00410473490415534,0.000207540780115862,4.82837783521446e-05,0.603837095778347,6.94029804496595,x1,6401,6912,1
0.2467509765625,0.31943943543363,26.3922,0.11328125,0.024333212455276,0.0331903847623056,0.0264739281115743,0.0218658988290909,0.000720747396813113,0.000108197363335741,0.624424740619013,3.77397006078866,x1,6657,7168,1
0.1865388671875,0.254962120769623,19.1127,0.109375,0.0259405089834181,0.0186420403153211,0.0127031528970287,0.00864466548078642,0.000379092804151623,4.39602081514753e-05,0.580521064603437,4.74636876143836,x1,6913,7424,1
0.1668494140625,0.210382353044775,13.0537,0.0859375,0.0219203004182178,0.0187124780494124,0.00368017420856123,0.0029246859009763,0.000149935902960464,3.95972808450787e-05,0.517964081232242,3.50653685999993,x1,7169,7680,1
0.1844748046875,0.241831256582263,15.6422,0.08984375,0.0217199735226486,0.0307207927973663,0.00692633378796832,0.00157955441174694,0.000133549237498305,4.04374517905439e-05,0.51814828863423,4.21982444923493,x1,7425,7936,1
0.136469140625,0.186133420519731,17.1467,0.15625,0.00431718032121479,0.00527525619914096,0.00399572308137326,0.00264209255520302,0.00024091869600746,6.7942373210751e-05,0.620757316940767,6.92652688995858,x1,7681,8192,1
0.2139736328125,0.307473801189579,22.3494,0.17578125,0.0516990889950169,0.028236940699482,0.0109987757620266,0.00996767195039201,0.000947840639467306,0.000155245527229937,0.549913714084498,5.2433505667507,x1,7937,8448,1
0.4068775390625,0.518687905828104,52.8234,0.16015625,0.106702502997132,0.0466637584883979,0.0851608995671698,0.0622188706477976,0.00278279344441757,0.000821537813897787,0.62232109278101,3.1547058145696,x1,8193,8704,1
1.0031029296875,1.30625469736745,163.5276,0.1953125,0.117967817210428,0.0507223290576253,0.846908365829403,0.501721371678249,0.00648788643077327,0.00099505928870086,0.412448737204345,2.98837763888309,x1,8449,8960,1
1.6221306640625,1.85850235995886,269.523,0.19921875,0.0733347215795894,0.0171893204075582,2.18194075832635,1.26694574195445,0.00881960018519608,0.000628325668718295,0.3045042212954,1.71734843376487,x1,8705,9216,1
1.2007546875,1.53956883730631,208.2359,0.23828125,0.00167727602520483,0.00111552961046271,1.34366506603132,0.813607921960931,0.0109222270624892,0.00067735737795844,0.324023598057942,2.41281867667751,x1,8961,9472,1
0.752524609374999,0.978942173901886,137.7958,0.23828125,0.00394832237128443,0.00156768372147067,0.637361529682123,0.415944300796697,0.0072597736447927,0.00142005174834827,0.353930874204198,3.17288749338223,x1,9217,9728,1
0.770165820312502,0.922672696117186,140.2554,0.19921875,0.000518694710261941,0.000384016587414165,0.400674658305409,0.285293454656089,0.00269085666700979,0.00216859467382268,0.330294058239665,2.44630176207557,x1,9473,9984,1
0.0121380859375,0.0156010247309672,6.01,0.59765625,3.64819026829945e-05,1.097603061898e-05,1.31292069600295e-05,5.46769347274494e-05,0.000110522918401113,7.28507660322462e-05,0.813677484634986,3.23681138775447,x2,1,512,1
0.026413671875,0.0369730502570791,9.38680000000001,0.49609375,5.19194922645982e-05,0.000220437277940681,0.000313345641455615,0.000469119091732429,0.000405144742907916,0.000315000730389215,0.828893623981539,5.61578077463579,x2,257,768,1
0.03576796875,0.0447731779186769,9.80760000000001,0.36328125,0.000591279327379716,0.00068194835547438,0.000234599045393948,0.000424677626809333,0.000341447770614338,0.000257382848269098,0.725077530252927,3.32422032730631,x2,513,1024,1
0.053040234375,0.0710826966682117,9.28440000000001,0.21875,0.0015483449197369,0.00119158377920681,0.000300318231887159,0.000304492764292648,0.000155733357771618,0.000113254751180528,0.573892056974392,4.46522602015712,x2,769,1280,1
0.13281640625,0.185286454430194,20.0668,0.17578125,0.00272901558425573,0.0117684703846914,0.0122501054389435,0.01078611120868,0.00148610323125723,0.000853145536371327,0.681941498886171,5.29192005928975,x2,1025,1536,1
